IL_CODE11,IL_NAME11,IA_CODE11,IA_NAME11,IR_CODE11,IR_NAME11,STE_CODE11,STE_NAME11,AREA_SQKM,Indigenousno,Nonindigenousno
70400601,Milikapiti,704006,Tiwi Islands,704,Jabiru - Tiwi,7,Northern Territory,11.52116,91,23
70400601,Milikapiti,704006,Tiwi Islands,704,Jabiru - Tiwi,7,Northern Territory,11.52116,324,"1,995"
70400602,Pirlangimpi,704006,Tiwi Islands,704,Jabiru - Tiwi,7,Northern Territory,11.97093,91,23
70400602,Pirlangimpi,704006,Tiwi Islands,704,Jabiru - Tiwi,7,Northern Territory,11.97093,324,"1,995"
70400603,Tiwi Islands - Wilderness,704006,Tiwi Islands,704,Jabiru - Tiwi,7,Northern Territory,"7,429.02225",91,23
70400603,Tiwi Islands - Wilderness,704006,Tiwi Islands,704,Jabiru - Tiwi,7,Northern Territory,"7,429.02225",324,"1,995"
70400604,Wurrumiyanga (Nguiu),704006,Tiwi Islands,704,Jabiru - Tiwi,7,Northern Territory,10.05415,91,23
70400604,Wurrumiyanga (Nguiu),704006,Tiwi Islands,704,Jabiru - Tiwi,7,Northern Territory,10.05415,324,"1,995"
30601501,Toowoomba - Central,306015,Toowoomba - Central,306,Toowoomba - Roma,3,Queensland,142.201,"2,891","83,165"
30601601,Crows Nest,306016,Toowoomba - North,306,Toowoomba - Roma,3,Queensland,"1,596.95766","2,891","83,165"
30601602,Rosalie,306016,Toowoomba - North,306,Toowoomba - Roma,3,Queensland,"2,427.60379","2,891","83,165"
30601701,Greenmount - Clifton - Cambooya,306017,Toowoomba - South,306,Toowoomba - Roma,3,Queensland,"1,491.09065","2,891","83,165"
30601702,Millmerran,306017,Toowoomba - South,306,Toowoomba - Roma,3,Queensland,"4,518.30517","2,891","83,165"
30601703,Pittsworth,306017,Toowoomba - South,306,Toowoomba - Roma,3,Queensland,925.65412,"2,891","83,165"
30801301,Townsville,308013,Townsville,308,Townsville - Mackay,3,Queensland,164.06791,"4,982","84,194"
30801401,Townsville - Northern Beaches,308014,Townsville - Surrounds,308,Townsville - Mackay,3,Queensland,"1,007.36062","4,982","84,194"
30801402,Townsville - Southern Rangelands,308014,Townsville - Surrounds,308,Townsville - Mackay,3,Queensland,"2,409.22752","4,982","84,194"
30801501,Cardwell,308015,Tully - Cardwell - Jumbun,308,Townsville - Mackay,3,Queensland,"3,036.46335",382,"1,929"
30801502,Jumbun,308015,Tully - Cardwell - Jumbun,308,Townsville - Mackay,3,Queensland,9.28484,382,"1,929"
30801503,Tully,308015,Tully - Cardwell - Jumbun,308,Townsville - Mackay,3,Queensland,7.28991,382,"1,929"
10501901,Tumut,105019,Tumut,105,Riverina - Orange,1,New South Wales,"4,650.07716",356,"9,977"
10402001,Murwillumbah,104020,Tweed,104,NSW Central and North Coast,1,New South Wales,"1,058.34905",655,"26,760"
10402001,Murwillumbah,104020,Tweed,104,NSW Central and North Coast,1,New South Wales,"1,058.34905","1,674","45,944"
10402002,Tweed Coast,104020,Tweed,104,NSW Central and North Coast,1,New South Wales,128.74212,655,"26,760"
10402002,Tweed Coast,104020,Tweed,104,NSW Central and North Coast,1,New South Wales,128.74212,"1,674","45,944"
10402003,Tweed Heads,104020,Tweed,104,NSW Central and North Coast,1,New South Wales,120.35114,655,"26,760"
10402003,Tweed Heads,104020,Tweed,104,NSW Central and North Coast,1,New South Wales,120.35114,"1,674","45,944"
40102101,Burnside,401021,Unley - Burnside - Mitcham,401,Adelaide,4,South Australia,27.51844,133,"34,581"
40102102,Mitcham,401021,Unley - Burnside - Mitcham,401,Adelaide,4,South Australia,75.5475,133,"34,581"
40102103,Unley,401021,Unley - Burnside - Mitcham,401,Adelaide,4,South Australia,14.27081,133,"34,581"
10502001,Upper Murray,105020,Upper Murray,105,Riverina - Orange,1,New South Wales,"18,645.31458",450,"27,226"
10201401,Uralla,102014,Uralla - Walcha,102,North-Eastern NSW,1,New South Wales,"3,094.84289",332,"5,204"
10201402,Walcha,102014,Uralla - Walcha,102,North-Eastern NSW,1,New South Wales,"6,742.66813",332,"5,204"
10502101,Wagga Wagga - East,105021,Wagga Wagga,105,Riverina - Orange,1,New South Wales,21.09815,"2,337","52,835"
10502102,Wagga Wagga - North,105021,Wagga Wagga,105,Riverina - Orange,1,New South Wales,9.26605,"2,337","52,835"
10502103,Wagga Wagga - South,105021,Wagga Wagga,105,Riverina - Orange,1,New South Wales,25.91651,"2,337","52,835"
10502104,Wagga Wagga - Surrounds,105021,Wagga Wagga,105,Riverina - Orange,1,New South Wales,"4,820.13154","2,337","52,835"
10502105,Wagga Wagga - West,105021,Wagga Wagga,105,Riverina - Orange,1,New South Wales,9.54122,"2,337","52,835"
10300601,Collarenebri,103006,Walgett,103,North-Western NSW,1,New South Wales,1.11297,401,"2,487"
10300601,Collarenebri,103006,Walgett,103,North-Western NSW,1,New South Wales,1.11297,821,757
10300602,Gingie Reserve,103006,Walgett,103,North-Western NSW,1,New South Wales,2.97799,401,"2,487"
10300602,Gingie Reserve,103006,Walgett,103,North-Western NSW,1,New South Wales,2.97799,821,757
10300603,Lightning Ridge,103006,Walgett,103,North-Western NSW,1,New South Wales,2.94884,401,"2,487"
10300603,Lightning Ridge,103006,Walgett,103,North-Western NSW,1,New South Wales,2.94884,821,757
10300604,Namoi Reserve,103006,Walgett,103,North-Western NSW,1,New South Wales,0.44821,401,"2,487"
10300604,Namoi Reserve,103006,Walgett,103,North-Western NSW,1,New South Wales,0.44821,821,757
10300605,Walgett,103006,Walgett,103,North-Western NSW,1,New South Wales,4.95208,401,"2,487"
10300605,Walgett,103006,Walgett,103,North-Western NSW,1,New South Wales,4.95208,821,757
10300606,Walgett - Surrounds,103006,Walgett,103,North-Western NSW,1,New South Wales,"23,300.47325",401,"2,487"
10300606,Walgett - Surrounds,103006,Walgett,103,North-Western NSW,1,New South Wales,"23,300.47325",821,757
50502001,Wanneroo - North-East,505020,Wanneroo - North-East,505,Perth,5,Western Australia,562.14841,"1,913","102,764"
10100601,Warren,101006,Warren,101,Dubbo,1,New South Wales,"9,681.39529",335,"2,319"
20201701,Warrnambool,202017,Warrnambool,202,Victoria exc. Melbourne,2,Victoria,182.61369,392,"28,681"
